Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Chandra Station,osmovaloper10ymws40tepmjcu3a2wuy266ddna4ktas0zuzm4,112244955165,2420054228657,2307809273492,5.00%,N,Y,0.995,3/10,N,gov<5/10 (fraction=0.300),0.85%,
jabbey,osmovaloper1xwazl8ftks4gn00y5x3c47auquc62ssuh8af89,37287723200,2317948980892,2280661257692,6.00%,N,Y,1,0/10,N,gov<5/10 (fraction=0.000),0.28%,
Leonoor's Cryptoman,osmovaloper14amduhjazqhwtkhm6kutdcy4ux5zazf5k803tq,76738897918,2260205540369,2183466642451,5.00%,N,Y,1,5/10,Y,OK,0.58%,3.62%
🐠stake.fish,osmovaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9ua8h4lf,198910277692,2374572033570,2175661755878,5.00%,N,Y,1,0/10,N,gov<5/10 (fraction=0.000),1.51%,
OWALLET,osmovaloper1zqevmn000unnjj709akc8p86f9jc4xevf8f8g3,13489756516,2187469771877,2173980015361,5.00%,N,Y,1,10/10,Y,OK,0.10%,3.61%
interchain.FM🥩,osmovaloper125kjmvuv5sv7qct2t6wc99h3mp7hpyxw37dcgg,82465681346,2212782066368,2130316385022,5.00%,N,Y,1,0/10,N,gov<5/10 (fraction=0.000),0.63%,
Interstellar 🍸,osmovaloper1tj76vuaqu23eex2v6vlqc93ytsselvama69re6,88192464772,2189340376238,2101147911466,5.00%,N,Y,0.999,0/10,N,gov<5/10 (fraction=0.000),0.67%,
SG-1,osmovaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcmmarz7,108808885109,2116680784500,2007871899391,5.00%,N,Y,0.999,0/10,N,gov<5/10 (fraction=0.000),0.83%,
Forbole,osmovaloper14kn0kk33szpwus9nh8n87fjel8djx0y0fhtak5,90864963704,2055351252619,1964486288915,5.00%,N,Y,0.998,4/10,N,gov<5/10 (fraction=0.400),0.69%,
BackBone Labs | Delegate for $SOUL Claim Drop,osmovaloper135p8cjwa3hnnnksjxchda0a6339z9zm7cudyxn,33978914998,1990017409480,1956038494482,6.00%,N,Y,,,N,"uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.26%,
BouBouNode,osmovaloper1eh5mwu044gd5ntkkc2xgfg8247mgc56f4dlt9h,158950055558,2105805372901,1946855317343,6.10%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",1.21%,
NodeGuardians (Decommissioned),osmovaloper15xstrgzpwhduklvyhy9g7gu774lm8cjjxdvlw6,107918052131,2049556115823,1941638063692,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.82%,
Coinbase_Shutting_Down,osmovaloper1q4mlwtw3ncve72na65xacck557wcknc8j0lmke,0,1750656994226,1750656994226,10.00%,Y,N,,,N,"inactive, CEX, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
