Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Validape x GT Capital,evmosvaloper1yqj0hqaw7694nwa2cumusrqqqhnsemdgutns7p,0,94444191801529351636,9.44442E+19,5.00%,N,N,,,N,inactive,0.00%,
Merak.run,evmosvaloper1k35wzk4slyz2ly9wycjqjs5ed7mwjl2y7msgdz,0,75201748523616051361,7.52017E+19,10.00%,N,N,,,N,inactive,0.00%,
BlockBlimp,evmosvaloper18ukxy5rl8w8wjkwlm029v05mz5pa6yj893427x,0,69601468972845314623,6.96015E+19,100.00%,N,N,,,N,"inactive, commission>10%",0.00%,
MCB | mcbnode,evmosvaloper1gp3smgnl92elvknutdz4jvc0yfjfhz9gs8c8yd,0,66559720995094163058,6.65597E+19,5.00%,N,N,,,N,inactive,0.00%,
Illuminati,evmosvaloper13rh82yhf4zzf9n44e32e7r30ackggkvu6ps426,0,66052187894175120724,6.60522E+19,5.00%,N,N,,,N,inactive,0.00%,
"Out of active set, please redelegate your tokens",evmosvaloper1x956sa74evkx4tma64s7hxaa3lrsrfmvqnvhrv,0,63224821787157235599,6.32248E+19,5.00%,N,N,,,N,inactive,0.00%,
Noderunners,evmosvaloper1y96y6awujpq8sz4vd2rvejxs25mhrs6fqt0lkv,0,59932961383469550152,5.9933E+19,5.00%,N,N,,,N,inactive,0.00%,
AG_Node_Evmos,evmosvaloper1lfywrrzgt0dmhuhxfn0ahn6909x0pgwuxgnwcz,0,58032400000000089000,5.80324E+19,5.00%,N,N,,,N,inactive,0.00%,
Reality Flux | NFTSwitch.xyz,evmosvaloper1n4zajqylnmk7kmnymq4ceynzlkq68j9l6qrxmg,0,5.30001E+19,5.30001E+19,5.00%,N,N,,,N,inactive,0.00%,
Do Not Delegate - [Discontinued],evmosvaloper1m9h4m6d8nw8fjewsqjtkv9zzk7jc5cxhpn73up,0,48890200090527865423,4.88902E+19,5.00%,N,N,,,N,inactive,0.00%,
Please Redelegate Elsewhere,evmosvaloper187860d5xukeksge9jz3wwff7h68asdafxdxh4r,0,48092094388355674595,4.80921E+19,5.00%,N,N,,,N,inactive,0.00%,
stake-machine.com,evmosvaloper1gk9cqangsfrd8dd92fyplmpqhft0zk0fa5ctjk,0,4.6446E+19,4.6446E+19,5.00%,N,N,,,N,inactive,0.00%,
PLEASE REDELEGATE - Flipside,evmosvaloper1myawyc7skexkafq43sdj8n4wah3fdgt9lhkmeh,0,46270666827856642422,4.62707E+19,5.00%,N,N,,,N,inactive,0.00%,
Unity Capital,evmosvaloper1f86x5htxmxcwnz0nwyszzww9wh3hjkeyhwkjp5,0,4.36E+19,4.36E+19,5.00%,N,N,,,N,inactive,0.00%,
moula.tech 💜,evmosvaloper132z5p9vl4rqa0smxw0t8xmdr3uwteqqyayn0a4,0,3.9406E+19,3.9406E+19,5.00%,N,N,,,N,inactive,0.00%,
web34ever,evmosvaloper1rq0r53s3wg4854n05tg0hrw5u3jaqlw483z0pg,0,36272313112385565054,3.62723E+19,5.00%,N,N,,,N,inactive,0.00%,
Kynraze,evmosvaloper1xskpkvmc8chtvgy5zv4wzf3mkrjnmke8ddgftk,0,3.582E+19,3.582E+19,10.00%,N,N,,,N,inactive,0.00%,
Natalia,evmosvaloper1xvrdg707g8kug8k9zlrpqamfukzt5qnc8uj27z,0,32717024933313053396,3.2717E+19,5.00%,N,N,,,N,inactive,0.00%,
Staketab,evmosvaloper1p5650lhupzf9wllenm5nwpl4mycj9p4dceg7g6,0,30078128909762248032,3.00781E+19,5.00%,N,N,,,N,inactive,0.00%,
z,evmosvaloper1y56smujn0dr4k8nm9zc844jx2v7gzxeq6cvued,0,29327592178542212040,2.93276E+19,5.00%,N,N,,,N,inactive,0.00%,
请至新节点质押 | old-DeFi100-iCosmosDAO,evmosvaloper1ratv3lvtg3vz9ravf25cqr8mp2lsdn4vuucudm,0,27106974537211136082,2.7107E+19,5.00%,N,N,,,N,inactive,0.00%,
PosPool,evmosvaloper1kf44guytqa49v0d5wr6933xwap7kdkdcw3892n,0,26498249029165711826,2.64982E+19,5.00%,N,N,,,N,inactive,0.00%,
Bi23 Labs,evmosvaloper1ksdaejzyj2jm3zcf92kxgvrl6z457wg2g7mlmr,0,25389713629079189242,2.53897E+19,5.00%,N,N,,,N,inactive,0.00%,
PUPMØS,evmosvaloper13ajpsskazazxre46ulcqpm0cc0ad9we4kayc34,0,24875014003517539725,2.4875E+19,5.00%,N,N,,,N,inactive,0.00%,
SecorD,evmosvaloper1cxpkev44hfqx2pcyx0zl80f9skfdcym02j5krm,0,24429098303566756293,2.44291E+19,5.00%,N,N,,,N,inactive,0.00%,
NITAWA,evmosvaloper15zgjlh6aqrc36nuvwwnpvmgq8vjqkvsydmun5u,0,23400481660408276800,2.34005E+19,5.00%,N,N,,,N,inactive,0.00%,
azstake,evmosvaloper1r4egnngxqudu7nsxa6uygcygn36j30v7w3luh6,0,22245329092149513200,2.22453E+19,5.00%,N,N,,,N,inactive,0.00%,
