chain_id,validator_name,validator_address,target_weight
injective-1,SCV-Security,injvaloper19a77dzm2lrxt2gehqca3nyzq077kq7qsgvmrp4,652
injective-1,Injective Foundation 2,injvaloper13v0sulppc8pgtk4907p3vaqgq54vyl9yqmf7av,648
injective-1,Figment,injvaloper1g4d6dmvnpg7w7yugy6kplndp7jpfmf3krtschp,635
injective-1,Informal Systems,injvaloper10xhy8xurfwts9ckjkq0ga92mrjz9txyygymqzp,536
injective-1,Cointelegraph Decentralization Guardians,injvaloper1vgu49xjgle9k84smvrwlyuc38u0cakuz7q3a5f,495
injective-1,FalconX,injvaloper1da0shwz2mcup5rxkykquc9a7mh4s2hkeah9wuc,470
injective-1,Core ONE,injvaloper1yljq5pdnx84kkg30jfmz6ddu4eyp7twyp4z40f,453
injective-1,Innovating Capital,injvaloper1rqqpyuka5dxulzjslnzjld2ltcw5095rr0jz07,368
injective-1,Bitwise Onchain Solutions,injvaloper14yeq3lkajldaggj28hmq8xng9xux7x5g46hezv,346
injective-1,Solva (CryptoCrew),injvaloper1nq37nq79w2j76xj8qhjzcn6vh0wlx0qk2r7zm6,340
injective-1,Kiln,injvaloper1vm2gflv53mzy9ak4f8cr9ml3xus980wywe9fx2,335
injective-1,Nansen | Stake to Stack Points,injvaloper1nm48eujr28u3htqrjumfwhytn63rmca2prtklt,309
injective-1,polkachu.com,injvaloper125fkz3mq6qxxpkmphdl3ep92t0d3y9695mhclt,284
injective-1,Decentrio-Labs,injvaloper1mlsg82x0mnw88u2teg0kceautjktgcl08tqfs4,280
injective-1,Hex Trust,injvaloper16jkt2gcm8qfxzjj8j6pvyc045ga82pmthz58mp,254
injective-1,Twinstake,injvaloper1zt0x89kt3jhflyt69l4cpwcxhtgjaxteyhdgdv,252
injective-1,BitGo by Twinstake,injvaloper1ae4f9ae2d94kwhn6xlshm34f9fl0p0rkwy9wj5,250
