chain_id,validator_name,validator_address,target_weight
comdex-1,capx,comdexvaloper1dz5hxw7dnmga0j0rzgkvlcmpuy37u4jaswel66,0
comdex-1,forbole,comdexvaloper1e4wjh48ks5j5d9702d35q360ffmf3jj2xpuf3f,0
comdex-1,Cosmos Spaces,comdexvaloper1ee63nuagkj5age25jhdytj6vawt89jqqxyw7ls,87
comdex-1,Finality,comdexvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wh2dqrg,100
comdex-1,Consensus One,comdexvaloper1flh26y7f2vsam4a6snwgrqaxkhe0g2yljstdqm,204
comdex-1,zenchainlabs,comdexvaloper1flsq5dcypwrf6pjlr2vw0ws5ratv45dfysfv74,0
comdex-1,🔥STAVR🔥 REStake ON✅,comdexvaloper1g6fm6xcgzrlm9d2apf3t8xvu7wrk509wxyy5rq,64
comdex-1,StakeLab,comdexvaloper1gfe4f7urf866xte5cpmkgsw7q2u97qj06ldtj3,251
comdex-1,Zenscape,comdexvaloper1gjcv70fqf4557g8uqsk83l82fccykx0ye43ul9,116
comdex-1,EZ Staking,comdexvaloper1gjtvly9lel6zskvwtvlg5vhwpu9c9waw0u289r,51
comdex-1,citadelone,comdexvaloper1glgnuuckrkcvl90uk0ute8h0y4gdp5u8s0ahnt,0
comdex-1,polkachu.com,comdexvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4p3447dz,800
comdex-1,Architect Nodes,comdexvaloper1hvhyunq7qvykzvrcnhjj4xnkcla58xustdw75m,343
comdex-1,bridgetower,comdexvaloper1ks4da6wzff7zdgkxydehl8ffp7k3dffc3x2q7a,0
comdex-1,Valid Blocks,comdexvaloper1l87lywr66ehhfuy3807nuwfjpmweyerdm8u602,187
comdex-1,whitewhale,comdexvaloper1mp9tca6z6z0qczdy9wps5fuhxsucre0zfevavc,0
comdex-1,sentineldvpn,comdexvaloper1ndslxsucavg3eglqe4mzge74tdx67rcnd7dawq,0
comdex-1,Cosmostation,comdexvaloper1p0a674uq64mxfgxa2h75a6k7r86hjg7pefq4zy,172
comdex-1,stakecito,comdexvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q5dufl6,0
comdex-1,Chill Validation,comdexvaloper1qr7eckxg5zgsp40sdwr9qj2arfx5ftgpggl98t,127
comdex-1,Staketab,comdexvaloper1s9em43slvq8zk9xxkdfqgve9zxw4sha7hhkqa7,92
comdex-1,Cosmoverse,comdexvaloper1txq98fyl406jvgv723dljnnqh5d33gaajyfmpg,64
comdex-1,mysticalgirl,comdexvaloper1ty6jnra4er0uwm5ud9a04kc3vxk8a324mhrcrk,0
comdex-1,stakewithus,comdexvaloper1vj0ntz8qk9pxk7xt3n0ukdkt86j3epnva2ag7p,0
comdex-1,Validatrium-Inactive-Redelegate,comdexvaloper1wg8m5kkhrrszyvgqq2d5t9c4fd0cqqhy04tlud,232
comdex-1,⚛️NodeOf Cosmonauts - Comdex🧑‍🚀,comdexvaloper1yyc7vmzy9w2g79gswz9cx845hh7l275cw7eg2r,93
comdex-1,ChainTools,comdexvaloper1z6a9p43svtkzf5efmy78tae7qqz8p8cctyj6yg,138
comdex-1,dankuzone,comdexvaloper1zk7jdn32dejfeya3c4e3h5lyjsuhafthlrhe2f,0
comdex-1,vaultstaking,comdexvaloper1zy7uuu6cd5fde3uunlh5l40jjf24ypd6rnltv5,0
cosmoshub-4,stakingfund,cosmosvaloper1000ya26q2cmh399q4c5aaacd9lmmdqp90kw2jn,0
cosmoshub-4,ztake,cosmosvaloper102ruvpv2srmunfffxavttxnhezln6fnc54at8c,0
cosmoshub-4,mantra,cosmosvaloper103agss48504gkk3la5xcg5kxplaf6ttnuv234h,0
cosmoshub-4,bronbro,cosmosvaloper106yp7zw35wftheyyv9f9pe69t8rteumjrx52jg,0
cosmoshub-4,notional,cosmosvaloper1083svrca4t350mphfv9x45wq9asrs60cdmrflj,0
cosmoshub-4,bharvest,cosmosvaloper10e4vsut6suau8tk9m6dnrm0slgd6npe3jx5xpv,0
cosmoshub-4,onblocnode,cosmosvaloper10jzj3jjd3frna0ay08sh4zu4fpy957s49jkk7m,0
cosmoshub-4,blockdaemon,cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,0
cosmoshub-4,gatadao,cosmosvaloper10unx6s0cdqntvrumd5hs07rgd5ytcztqh8etw6,0
cosmoshub-4,ledger,cosmosvaloper10wljxpl03053h9690apmyeakly3ylhejrucvtm,0
cosmoshub-4,cosvalidator,cosmosvaloper122j3zmqdl6d2g64qmjuqzj65gfejsvjp07yljn,0
cosmoshub-4,simplystaking,cosmosvaloper124maqmcqv8tquy764ktz7cu0gxnzfw54n3vww8,0
cosmoshub-4,strangelove,cosmosvaloper130mdu9a0etmeuw52qfxk73pn0ga6gawkxsrlwf,0
cosmoshub-4,p2p,cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,0
cosmoshub-4,chainup,cosmosvaloper13maqgtlklmereflvg3lq3e8zrp0jsqhr8ef3kk,0
cosmoshub-4,cosmosspaces,cosmosvaloper13p5ckpmc9g2v8ez5qsxs00wadqvcc7q0qheh26,0
cosmoshub-4,tienthuattoan,cosmosvaloper13ql36flc4cdjhx08hke5vpr4dyv03aafnmvtnc,0
cosmoshub-4,nyliranet,cosmosvaloper13sduv92y3xdhy3rpmhakrc3v7t37e7ps9l0kpv,0
cosmoshub-4,cryptodungeon,cosmosvaloper13x4pynlp86prhcmtns742kgsgu7pjtzj4djh7s,0
cosmoshub-4,blockscape,cosmosvaloper13x77yexvf6qexfjg9czp6jhpv7vpjdwwkyhe4p,0
cosmoshub-4,danku,cosmosvaloper140e7u946a2nqqkvcnjpjm83d0ynsqem8dnp684,0
cosmoshub-4,Lavender.Five Nodes 🐝,cosmosvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zfd832j,223
cosmoshub-4,kysenpoolsky,cosmosvaloper146kwpzhmleafmhtaxulfptyhnvwxzlvm87hwnm,0
cosmoshub-4,polychain,cosmosvaloper14k4pzckkre6uxxyd2lnhnpp8sngys9m6hl6ml7,0
cosmoshub-4,forbole,cosmosvaloper14kn0kk33szpwus9nh8n87fjel8djx0y070ymmj,0
cosmoshub-4,dokiacapital,cosmosvaloper14lultfckehtszvzw4ehu0apvsr77afvyju5zzy,0
cosmoshub-4,cryptocrew,cosmosvaloper14qazscc80zgzx3m0m0aa30ths0p9hg8vdglqrc,0
cosmoshub-4,republiccrypto,cosmosvaloper14upntdx8lf0f49t987mj99zksxnluanvu6x4lu,0
cosmoshub-4,Quasar 🤖🧬🧠,cosmosvaloper14yncgrhz5t0j6p9yfm0eht65ltter2kqwkn6dc,118
cosmoshub-4,binancestaking,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,0
cosmoshub-4,POSTHUMAN 🧬 StakeDrop,cosmosvaloper157v7tczs40axfgejp2m43kwuzqe0wsy0rv8puv,472
cosmoshub-4,dragonstake,cosmosvaloper15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l2nvwher,0
cosmoshub-4,ethicalnode,cosmosvaloper15uarq305pfjftjv532jakjx0p52zflzxfr8e42,0
cosmoshub-4,chorusone,cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,0
cosmoshub-4,wecoins,cosmosvaloper15w6ra6m68c63t0sv2hzmkngwr9t88e23r8vtg5,0
cosmoshub-4,dacm,cosmosvaloper16fnz0v4cnv5dpnj0p3gaft2q2kzx8z5hfrx6v5,0
cosmoshub-4,Informal Systems,cosmosvaloper16k579jk6yt2cwmqx9dz5xvq9fug2tekvlu9qdv,803
cosmoshub-4,kira,cosmosvaloper16qme5yxucnaj6snx35nmwze0wyxr8wfgqxsqfw,0
cosmoshub-4,stakerelax,cosmosvaloper16qnr6snzq49l6grkyu39lzchnfv3ajfdvejx55,0
cosmoshub-4,oni,cosmosvaloper16s96n9k9zztdgjy8q4qcxp4hn7ww98qkrka4zk,0
cosmoshub-4,Stakely.io,cosmosvaloper16yupepagywvlk7uhpfchtwa0stu5f8cyhh54f2,237
cosmoshub-4,freshstaking,cosmosvaloper17h2x3j7u44qkrq0sk8ul0r2qr440rwgjkfg0gh,0
cosmoshub-4,01node,cosmosvaloper17mggn4znyeyg25wd7498qxl7r2jhgue8u4qjcq,0
cosmoshub-4,Kahuna,cosmosvaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje98l3k9h6,254
cosmoshub-4,dorafactorypgs,cosmosvaloper17w8wc8y2jg2fjnkfxfw8z7a84qtuvyrgd89hm4,0
cosmoshub-4,alessandromazza,cosmosvaloper18al7yt9q5a7n7aqje9dat36efyxssyahmx2gzs,0
cosmoshub-4,Smart Stake 📈📊,cosmosvaloper18extdhzzl5c8tr6453e5hzaj3exrdlea90fj3y,143
