Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
KubikStaking,dydxvaloper1lmly4sre7jkwt2dsshfqfvx9c9424pdqwptx3y,0,1.5E+17,1.5E+17,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
YTWOFUND,dydxvaloper1d2eh7uv664kf3wl3cm2kyrn6ddwe2gh52ec9zw,0,1E+17,1E+17,100.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
victor-dydx,dydxvaloper1dsqjwgkq6s2l3y6g76muslz2j47vxvlxwkuynr,0,1E+17,1E+17,100.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
AUDIT.one,dydxvaloper1r8srurperks9cgwy0untta4cl6xhu6swrxpv7w,0,62728000123123123,6.2728E+16,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
this_is_moniker,dydxvaloper1m3n0wmt7870lc7m76jmuureggxapgv56v6fswh,0,1E+16,1E+16,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Closed,dydxvaloper1hcdveum86e88tse4jql2rjssqmhhz4fqqglgjg,0,3087678901234567,3.08768E+15,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
jabbey,dydxvaloper1xwazl8ftks4gn00y5x3c47auquc62ssufv7gdk,0,1E+15,1E+15,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Ztake.org - decommissioned,dydxvaloper1uljla4879wfk5p3f23ll4ptgxldvlv7rn06ntp,0,12312312312312,12312312312312,7.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
SpotOnChain.ai,dydxvaloper1yksg84vkux8ex37s6e24ac66x4k432jrr5et9c,0,1000000,1000000,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
🦊 The Silver Fox,dydxvaloper1gd2gmstwtyd87kxk03wac8l48nh8jnxcdrnjfn,0,1,1,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
