Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
HashCloud,haqqvaloper1slfwfjvv49tdk2w7dpkklppeg42v6q4sn2tpq9,0,6258379999999915562,6.25838E+18,10.00%,N,N,,,N,inactive,0.00%,
Shishir,haqqvaloper1z6fvdjhn2zwatewmm9ev504s0ruagvad7jm6w4,0,6148751589009986660,6.14875E+18,5.00%,N,N,,,N,inactive,0.00%,
test11,haqqvaloper1u22vuxdvuuuk7awjcgepep999xnm2we6vuc3v8,0,5860500000019995552,5.8605E+18,5.00%,N,N,,,N,inactive,0.00%,
testing,haqqvaloper1wdkzvc4rrwumzah9lfehrmt7v4hgr6fjgzuhnp,0,3459699999999960008,3.4597E+18,5.00%,N,N,,,N,inactive,0.00%,
Elektro,haqqvaloper1suv7qzwx66vzhk3patrlnukslxj067efldty3q,0,1937877232500999999,1.93788E+18,10.00%,N,N,,,N,inactive,0.00%,
Multival,haqqvaloper1jvmdjr86sd4yppr0cmrq8svf2ygwahp350dh92,0,1.0999E+18,1.0999E+18,5.00%,N,N,,,N,inactive,0.00%,
Stopped Validator,haqqvaloper1yn0agdfyyg0eyjxfy6f32mk92mjy0myfcc7peh,0,9.79096E+17,9.79096E+17,10.00%,N,N,,,N,inactive,0.00%,
test-val,haqqvaloper1f02pm8lfem8sca7ytsp3ak0d9xv782kw22htvs,0,851111111111111109,8.51111E+17,5.00%,N,N,,,N,inactive,0.00%,
DavidsNode,haqqvaloper1rcafgcfmyn32frznu7h6vsxt3haza90t6lwrrm,0,7.56371E+15,7.56371E+15,5.00%,N,N,,,N,inactive,0.00%,
Baraka.Fund,haqqvaloper1a8q75jz2tjvyy80nkwtwwn5jsa22kgrh7r4nc8,0,6263730000999874,6.26373E+15,5.00%,N,N,,,N,inactive,0.00%,
Start-Staking.cc,haqqvaloper1plda7hy5z989fhsulmr7wtve3wxrax9yayutym,0,1000000,1000000,5.00%,N,N,,,N,inactive,0.00%,
None,haqqvaloper1f924vjfezwct6xqucp0yt8rf2lgtktu0flly5d,0,1000000,1000000,10.00%,N,N,,,N,inactive,0.00%,
Baraka.Test2,haqqvaloper1setqm8p7vxuw5fwhxjc9p8zslfly6hgdk44u59,0,10,10,5.00%,N,N,,,N,inactive,0.00%,
Baraka.Test2,haqqvaloper1n0xajcys3dlfhv974y5g9xa4exwtywnz6vhzc3,0,10,10,5.00%,N,N,,,N,inactive,0.00%,
