Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
noma,cosmosvaloper1r8kyvg4me2upnvlk26n2ay0zd5t4jktna8hhxp,0,120475491,120475491,20.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
kytzu,cosmosvaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vp3u2x3u,0,117416327,117416327,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Oleg,cosmosvaloper1grjl4vfsw4cq9vdvu2r4c8c6lzqnzrcl87hk46,0,115543942,115543942,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Post Road,cosmosvaloper19rmlxkqjt950fxl849l49x0me56u9tkd5n5j62,0,108341243,108341243,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
RockX,cosmosvaloper13ce7hhqa0z3tpc2l7jm0lcvwe073hdkkpp2nst,0,100347732,100347732,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
HelloPool,cosmosvaloper1unap36cmuaxsmgtshm893hjkneta5vp6udzc0j,0,100045000,100045000,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
darkqueen,cosmosvaloper1f63lrmnn4upu722kxdhw04taxa6w50lnar88dx,0,99990004,99990004,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
decommissioned,cosmosvaloper1n68tqcrf348t5qjzz5he4fw7jxvmm843l4wpkc,0,98026566,98026566,5.00%,N,N,1,0/10,N,"inactive, name_excluded (decommissioned), gov<5/10 (fraction=0.000)",0.00%,
.,cosmosvaloper1s7mj0fal0hs75mnp7fypp4q53fh3ldn8yrmlxs,0,87249547,87249547,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
OwlStake,cosmosvaloper1u26j77lqvngd7qystfmytrt8p0rm6vgscu7p3n,0,80000000,80000000,10.00%,N,Y,1,3/5,N,over_32_cap,0.00%,
